Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
User 4,Source 1,movieDetails,,,2022-09-19 04:04:49
User 4,Source 1,episodesSelector,,,2022-09-19 04:04:47
User 4,Source 1,movieDetails,,,2022-09-19 04:04:47
User 4,Source 1,movieDetails,,,2022-09-19 04:04:08
User 4,Source 1,episodesSelector,,,2022-09-19 04:04:08
User 4,Source 1,playback,,,2022-09-19 04:04:04
User 4,Source 1,movieDetails,,,2022-09-19 04:04:04
User 4,Source 1,postPlay,,,2022-09-19 04:03:43
User 4,Source 1,playback,,,2022-09-19 04:03:43
User 4,Source 1,playback,,,2022-09-19 04:03:40
User 4,Source 1,postPlay,,,2022-09-19 04:03:40
User 4,Source 1,movieDetails,,,2022-09-19 04:01:27
User 4,Source 1,playback,,,2022-09-19 04:01:27
User 4,Source 1,profilesGate,,,2022-09-19 04:01:21
User 4,Source 1,movieDetails,,,2022-09-19 04:01:21
User 4,Source 1,profilesGate,,,2022-09-19 04:01:20
User 4,Source 1,postPlay,,,2022-09-18 15:33:30
User 4,Source 1,playback,,,2022-09-18 15:33:30
User 4,Source 1,playback,,,2022-09-18 15:33:29
User 4,Source 1,postPlay,,,2022-09-18 15:33:29
User 4,Source 1,postPlay,,,2022-09-18 15:12:35
User 4,Source 1,playback,,,2022-09-18 15:12:35
User 4,Source 1,postPlay,,,2022-09-18 15:12:31
User 4,Source 1,playback,,,2022-09-18 15:12:31
User 4,Source 1,playback,,,2022-09-18 15:00:25
User 4,Source 1,postPlay,,,2022-09-18 15:00:25
User 4,Source 1,postPlay,,,2022-09-18 15:00:23
User 4,Source 1,playback,,,2022-09-18 15:00:23
User 4,Source 1,postPlay,,,2022-09-18 14:44:43
User 4,Source 1,playback,,,2022-09-18 14:44:43
User 4,Source 1,playback,,,2022-09-18 14:44:40
User 4,Source 1,postPlay,,,2022-09-18 14:44:40
User 4,Source 1,movieDetails,,,2022-09-18 14:40:29
User 4,Source 1,playback,,,2022-09-18 14:40:29
User 4,Source 1,movieDetails,,,2022-09-18 14:40:26
User 4,Source 1,browseTitles,,,2022-09-18 14:40:26
User 4,Source 1,profilesGate,,,2022-09-18 14:39:59
User 4,Source 1,browseTitles,,,2022-09-18 14:39:59
User 4,Source 1,profilesGate,,,2022-09-18 14:39:58
User 4,Source 1,playback,,,2022-09-17 16:27:53
User 4,Source 1,movieDetails,,,2022-09-17 16:27:53
User 4,Source 1,movieDetails,,,2022-09-17 16:22:42
User 4,Source 1,playback,,,2022-09-17 16:22:42
User 4,Source 1,playback,,,2022-09-17 16:22:09
User 4,Source 1,movieDetails,,,2022-09-17 16:22:09
User 4,Source 1,movieDetails,,,2022-09-17 16:20:37
User 4,Source 1,playback,,,2022-09-17 16:20:37
User 4,Source 1,browseTitles,,,2022-09-17 16:20:34
User 4,Source 1,movieDetails,,,2022-09-17 16:20:34
User 4,Source 1,playback,,,2022-09-17 16:20:30
User 4,Source 1,browseTitles,,,2022-09-17 16:20:30
User 4,Source 1,profilesGate,,,2022-09-17 16:20:27
User 4,Source 1,browseTitles,,,2022-09-17 16:20:27
User 4,Source 1,browseTitles,,,2022-09-17 16:20:27
User 4,Source 1,playback,,,2022-09-17 16:20:27
User 4,Source 1,profilesGate,,,2022-09-17 16:19:00
User 4,Source 0,browseTitles,,,2022-09-17 16:18:51
User 4,Source 0,movieDetails,,,2022-09-17 16:18:51
User 4,Source 0,browseTitles,,,2022-09-17 16:18:43
User 4,Source 0,profilesGate,,,2022-09-17 16:18:42
User 4,Source 0,profilesGate,,,2022-09-17 15:50:43
User 4,Source 0,browseTitles,,,2022-09-17 15:50:43
User 4,Source 1,playback,,,2022-09-17 04:22:35
User 4,Source 1,movieDetails,,,2022-09-17 04:22:35
User 4,Source 1,playback,,,2022-09-17 04:08:00
User 4,Source 1,movieDetails,,,2022-09-17 04:08:00
User 4,Source 1,profilesGate,,,2022-09-17 04:07:54
User 4,Source 1,movieDetails,,,2022-09-17 04:07:54
User 4,Source 1,profilesGate,,,2022-09-17 04:07:53
User 4,Source 1,screenSaver,,,2022-09-16 16:32:00
User 4,Source 1,movieDetails,,,2022-09-16 16:32:00
User 4,Source 1,screenSaver,,,2022-09-16 16:26:54
User 4,Source 1,movieDetails,,,2022-09-16 16:26:54
User 4,Source 1,playback,,,2022-09-16 16:20:41
User 4,Source 1,movieDetails,,,2022-09-16 16:20:41
User 4,Source 1,postPlay,,,2022-09-16 15:57:34
User 4,Source 1,playback,,,2022-09-16 15:57:34
User 4,Source 1,playback,,,2022-09-16 15:57:29
User 4,Source 1,postPlay,,,2022-09-16 15:57:29
User 4,Source 1,movieDetails,,,2022-09-16 15:38:49
User 4,Source 1,playback,,,2022-09-16 15:38:49
User 4,Source 1,playback,,,2022-09-16 15:23:34
User 4,Source 1,movieDetails,,,2022-09-16 15:23:34
User 4,Source 1,movieDetails,,,2022-09-16 15:16:12
User 4,Source 1,playback,,,2022-09-16 15:16:12
User 4,Source 1,playback,,,2022-09-16 15:14:20
User 4,Source 1,movieDetails,,,2022-09-16 15:14:20
User 4,Source 1,playback,,,2022-09-16 15:07:31
User 4,Source 1,postPlay,,,2022-09-16 15:07:31
User 4,Source 1,playback,,,2022-09-16 15:07:29
User 4,Source 1,postPlay,,,2022-09-16 15:07:29
User 4,Source 1,movieDetails,,,2022-09-16 14:48:33
User 4,Source 1,playback,,,2022-09-16 14:48:33
User 4,Source 1,movieDetails,,,2022-09-16 14:48:22
User 4,Source 1,profilesGate,,,2022-09-16 14:48:22
User 4,Source 1,profilesGate,,,2022-09-16 14:48:21
User 4,Source 1,movieDetails,,,2022-09-16 05:08:36
User 4,Source 1,playback,,,2022-09-16 05:08:36
User 4,Source 1,playback,,,2022-09-16 04:51:21
User 4,Source 1,postPlay,,,2022-09-16 04:51:21
User 4,Source 1,playback,,,2022-09-16 04:51:19
User 4,Source 1,postPlay,,,2022-09-16 04:51:19
User 4,Source 1,postPlay,,,2022-09-16 04:31:04
User 4,Source 1,playback,,,2022-09-16 04:31:04
User 4,Source 1,postPlay,,,2022-09-16 04:31:01
User 4,Source 1,playback,,,2022-09-16 04:31:01
User 4,Source 1,postPlay,,,2022-09-16 04:09:14
User 4,Source 1,playback,,,2022-09-16 04:09:14
User 4,Source 1,playback,,,2022-09-16 04:09:12
User 4,Source 1,postPlay,,,2022-09-16 04:09:12
User 4,Source 1,movieDetails,,,2022-09-16 04:05:50
User 4,Source 1,playback,,,2022-09-16 04:05:50
User 4,Source 1,playback,,,2022-09-16 04:04:33
User 4,Source 1,movieDetails,,,2022-09-16 04:04:33
User 4,Source 1,playback,,,2022-09-16 03:49:42
User 4,Source 1,movieDetails,,,2022-09-16 03:49:42
User 4,Source 1,playback,,,2022-09-16 03:44:58
User 4,Source 1,movieDetails,,,2022-09-16 03:44:58
User 4,Source 1,movieDetails,,,2022-09-16 03:35:13
User 4,Source 1,playback,,,2022-09-16 03:35:13
User 4,Source 1,profilesGate,,,2022-09-16 03:34:56
User 4,Source 1,profilesGate,,,2022-09-16 03:34:56
User 4,Source 1,movieDetails,,,2022-09-16 03:34:56
User 4,Source 1,movieDetails,,,2022-09-15 15:18:36
User 4,Source 1,playback,,,2022-09-15 15:18:36
User 4,Source 1,movieDetails,,,2022-09-15 14:55:12
User 4,Source 1,playback,,,2022-09-15 14:55:12
User 4,Source 1,profilesGate,,,2022-09-15 14:55:08
User 4,Source 1,movieDetails,,,2022-09-15 14:55:08
User 4,Source 1,profilesGate,,,2022-09-15 14:55:07
User 4,Source 1,playback,,,2022-09-15 08:10:35
User 4,Source 1,movieDetails,,,2022-09-15 08:10:35
User 4,Source 1,playback,,,2022-09-15 08:10:29
User 4,Source 1,postPlay,,,2022-09-15 08:10:29
User 4,Source 1,playback,,,2022-09-15 08:10:24
User 4,Source 1,postPlay,,,2022-09-15 08:10:24
User 4,Source 1,postPlay,,,2022-09-15 07:57:11
User 4,Source 1,playback,,,2022-09-15 07:57:11
User 4,Source 1,postPlay,,,2022-09-15 07:57:10
User 4,Source 1,playback,,,2022-09-15 07:57:10
User 4,Source 1,playback,,,2022-09-15 07:48:10
User 4,Source 1,episodesSelector,,,2022-09-15 07:48:10
User 4,Source 1,episodesSelector,,,2022-09-15 07:47:50
User 4,Source 1,movieDetails,,,2022-09-15 07:47:50
User 4,Source 1,movieDetails,,,2022-09-15 07:47:47
User 4,Source 1,playback,,,2022-09-15 07:47:47
User 4,Source 1,postPlay,,,2022-09-15 07:47:23
User 4,Source 1,playback,,,2022-09-15 07:47:23
User 4,Source 1,postPlay,,,2022-09-15 07:47:19
User 4,Source 1,playback,,,2022-09-15 07:47:19
User 4,Source 1,movieDetails,,,2022-09-15 07:45:31
User 4,Source 1,playback,,,2022-09-15 07:45:31
User 4,Source 1,profilesGate,,,2022-09-15 07:45:25
User 4,Source 1,movieDetails,,,2022-09-15 07:45:25
User 4,Source 1,profilesGate,,,2022-09-15 07:45:24
User 4,Source 1,playback,,,2022-09-15 05:03:54
User 4,Source 1,movieDetails,,,2022-09-15 05:03:54
User 4,Source 1,postPlay,,,2022-09-15 05:03:39
User 4,Source 1,playback,,,2022-09-15 05:03:39
User 4,Source 1,playback,,,2022-09-15 05:03:34
User 4,Source 1,postPlay,,,2022-09-15 05:03:34
User 4,Source 1,postPlay,,,2022-09-15 04:43:48
User 4,Source 1,playback,,,2022-09-15 04:43:48
User 4,Source 1,playback,,,2022-09-15 04:43:44
User 4,Source 1,postPlay,,,2022-09-15 04:43:44
User 4,Source 1,postPlay,,,2022-09-15 04:24:31
User 4,Source 1,playback,,,2022-09-15 04:24:31
User 4,Source 1,playback,,,2022-09-15 04:24:29
User 4,Source 1,postPlay,,,2022-09-15 04:24:29
User 4,Source 1,postPlay,,,2022-09-15 04:04:42
User 4,Source 1,playback,,,2022-09-15 04:04:42
User 4,Source 1,playback,,,2022-09-15 04:04:37
User 4,Source 1,postPlay,,,2022-09-15 04:04:37
User 4,Source 1,movieDetails,,,2022-09-15 03:43:01
User 4,Source 1,playback,,,2022-09-15 03:43:01
User 4,Source 1,profilesGate,,,2022-09-15 03:42:58
User 4,Source 1,movieDetails,,,2022-09-15 03:42:58
User 4,Source 1,profilesGate,,,2022-09-15 03:42:57
User 4,Source 1,movieDetails,,,2022-09-14 15:24:51
User 4,Source 1,postPlay,,,2022-09-14 15:24:51
User 4,Source 1,playback,,,2022-09-14 15:24:37
User 4,Source 1,postPlay,,,2022-09-14 15:24:37
User 4,Source 1,postPlay,,,2022-09-14 14:59:37
User 4,Source 1,playback,,,2022-09-14 14:59:37
User 4,Source 1,playback,,,2022-09-14 14:59:33
User 4,Source 1,postPlay,,,2022-09-14 14:59:33
User 4,Source 1,postPlay,,,2022-09-14 14:42:35
User 4,Source 1,playback,,,2022-09-14 14:42:35
User 4,Source 1,playback,,,2022-09-14 14:42:33
User 4,Source 1,postPlay,,,2022-09-14 14:42:33
User 4,Source 1,playback,,,2022-09-14 14:32:27
User 4,Source 1,movieDetails,,,2022-09-14 14:32:27
User 4,Source 1,profilesGate,,,2022-09-14 14:32:23
User 4,Source 1,movieDetails,,,2022-09-14 14:32:23
User 4,Source 1,profilesGate,,,2022-09-14 14:32:22
User 4,Source 1,postPlay,,,2022-09-14 08:03:49
User 4,Source 1,playback,,,2022-09-14 08:03:49
User 4,Source 1,playback,,,2022-09-14 08:03:47
User 4,Source 1,postPlay,,,2022-09-14 08:03:47
User 4,Source 1,playback,,,2022-09-14 07:53:18
User 4,Source 1,movieDetails,,,2022-09-14 07:53:18
User 4,Source 1,profilesGate,,,2022-09-14 07:53:13
User 4,Source 1,movieDetails,,,2022-09-14 07:53:13
User 4,Source 1,profilesGate,,,2022-09-14 07:53:12
User 4,Source 1,playback,,,2022-09-14 04:44:28
User 4,Source 1,movieDetails,,,2022-09-14 04:44:28
User 4,Source 1,postPlay,,,2022-09-14 04:38:47
User 4,Source 1,playback,,,2022-09-14 04:38:47
User 4,Source 1,postPlay,,,2022-09-14 04:38:45
User 4,Source 1,playback,,,2022-09-14 04:38:45
User 4,Source 1,postPlay,,,2022-09-14 04:30:48
User 4,Source 1,playback,,,2022-09-14 04:30:48
User 4,Source 1,postPlay,,,2022-09-14 04:30:46
User 4,Source 1,playback,,,2022-09-14 04:30:46
User 4,Source 1,movieDetails,,,2022-09-14 04:15:39
User 4,Source 1,playback,,,2022-09-14 04:15:39
User 4,Source 1,browseTitles,,,2022-09-14 04:15:30
User 4,Source 1,movieDetails,,,2022-09-14 04:15:30
User 4,Source 1,browseTitles,,,2022-09-14 04:15:28
User 4,Source 1,profilesGate,,,2022-09-14 04:15:27
User 4,Source 1,browseTitles,,,2022-09-14 04:15:27
User 4,Source 1,playback,,,2022-09-13 15:57:44
User 4,Source 1,movieDetails,,,2022-09-13 15:57:44
User 4,Source 1,postPlay,,,2022-09-13 15:46:49
User 4,Source 1,playback,,,2022-09-13 15:46:49
User 4,Source 1,postPlay,,,2022-09-13 15:46:46
User 4,Source 1,playback,,,2022-09-13 15:46:46
User 4,Source 1,postPlay,,,2022-09-13 15:28:29
User 4,Source 1,playback,,,2022-09-13 15:28:29
User 4,Source 1,playback,,,2022-09-13 15:28:24
User 4,Source 1,postPlay,,,2022-09-13 15:28:24
User 4,Source 1,movieDetails,,,2022-09-13 15:11:46
User 4,Source 1,playback,,,2022-09-13 15:11:46
User 4,Source 1,browseTitles,,,2022-09-13 15:11:44
User 4,Source 1,movieDetails,,,2022-09-13 15:11:44
User 4,Source 1,movieDetails,,,2022-09-13 15:11:42
User 4,Source 1,browseTitles,,,2022-09-13 15:11:42
User 4,Source 1,playback,,,2022-09-13 15:07:21
User 4,Source 1,movieDetails,,,2022-09-13 15:07:21
User 4,Source 1,postPlay,,,2022-09-13 14:55:00
User 4,Source 1,playback,,,2022-09-13 14:55:00
User 4,Source 1,playback,,,2022-09-13 14:54:55
User 4,Source 1,postPlay,,,2022-09-13 14:54:55
User 4,Source 1,movieDetails,,,2022-09-13 14:42:55
User 4,Source 1,playback,,,2022-09-13 14:42:55
User 4,Source 1,profilesGate,,,2022-09-13 14:42:49
User 4,Source 1,movieDetails,,,2022-09-13 14:42:49
User 4,Source 1,profilesGate,,,2022-09-13 14:42:48
User 4,Source 1,postPlay,,,2022-09-13 08:05:19
User 4,Source 1,playback,,,2022-09-13 08:05:19
User 4,Source 1,playback,,,2022-09-13 08:05:17
User 4,Source 1,postPlay,,,2022-09-13 08:05:17
User 4,Source 1,playback,,,2022-09-13 08:00:55
User 4,Source 1,postPlay,,,2022-09-13 08:00:55
User 4,Source 1,playback,,,2022-09-13 08:00:52
User 4,Source 1,postPlay,,,2022-09-13 08:00:52
User 4,Source 1,postPlay,,,2022-09-13 08:00:08
User 4,Source 1,playback,,,2022-09-13 08:00:08
User 4,Source 1,postPlay,,,2022-09-13 08:00:07
User 4,Source 1,playback,,,2022-09-13 08:00:07
User 4,Source 1,postPlay,,,2022-09-13 07:59:02
User 4,Source 1,playback,,,2022-09-13 07:59:02
User 4,Source 1,playback,,,2022-09-13 07:58:59
User 4,Source 1,postPlay,,,2022-09-13 07:58:59
User 4,Source 1,postPlay,,,2022-09-13 07:58:29
User 4,Source 1,playback,,,2022-09-13 07:58:29
User 4,Source 1,playback,,,2022-09-13 07:58:27
User 4,Source 1,postPlay,,,2022-09-13 07:58:27
User 4,Source 1,postPlay,,,2022-09-13 07:43:29
User 4,Source 1,playback,,,2022-09-13 07:43:29
User 4,Source 1,playback,,,2022-09-13 07:43:24
User 4,Source 1,postPlay,,,2022-09-13 07:43:24
User 4,Source 1,movieDetails,,,2022-09-13 07:37:46
User 4,Source 1,playback,,,2022-09-13 07:37:46
User 4,Source 1,profilesGate,,,2022-09-13 07:37:39
User 4,Source 1,movieDetails,,,2022-09-13 07:37:39
User 4,Source 1,profilesGate,,,2022-09-13 07:37:38
User 4,Source 1,playback,,,2022-09-13 04:30:27
User 4,Source 1,movieDetails,,,2022-09-13 04:30:27
User 4,Source 1,postPlay,,,2022-09-13 04:16:50
User 4,Source 1,playback,,,2022-09-13 04:16:50
User 4,Source 1,playback,,,2022-09-13 04:16:48
User 4,Source 1,postPlay,,,2022-09-13 04:16:48
User 4,Source 1,movieDetails,,,2022-09-13 04:08:49
User 4,Source 1,playback,,,2022-09-13 04:08:49
User 4,Source 1,profilesGate,,,2022-09-13 04:08:45
User 4,Source 1,movieDetails,,,2022-09-13 04:08:45
User 4,Source 1,profilesGate,,,2022-09-13 04:08:44
User 4,Source 1,movieDetails,,,2022-09-12 16:18:58
User 4,Source 1,profilesGate,,,2022-09-12 16:18:58
User 4,Source 1,screenSaver,,,2022-09-12 15:58:59
User 4,Source 1,movieDetails,,,2022-09-12 15:58:59
User 4,Source 1,movieDetails,,,2022-09-12 15:53:53
User 4,Source 1,screenSaver,,,2022-09-12 15:53:53
User 4,Source 1,playback,,,2022-09-12 15:44:19
User 4,Source 1,movieDetails,,,2022-09-12 15:44:19
User 4,Source 1,playback,,,2022-09-12 15:26:07
User 4,Source 1,postPlay,,,2022-09-12 15:26:07
User 4,Source 1,playback,,,2022-09-12 15:26:04
User 4,Source 1,postPlay,,,2022-09-12 15:26:04
User 4,Source 1,playback,,,2022-09-12 15:05:41
User 4,Source 1,episodesSelector,,,2022-09-12 15:05:41
User 4,Source 1,movieDetails,,,2022-09-12 15:05:31
User 4,Source 1,episodesSelector,,,2022-09-12 15:05:31
User 4,Source 1,browseTitles,,,2022-09-12 15:05:18
User 4,Source 1,movieDetails,,,2022-09-12 15:05:18
User 4,Source 1,profilesGate,,,2022-09-12 15:04:51
User 4,Source 1,browseTitles,,,2022-09-12 15:04:51
User 4,Source 1,profilesGate,,,2022-09-12 15:04:44
User 4,Source 0,browseTitles,,,2022-09-12 04:57:29
User 4,Source 0,newsFeed,,,2022-09-12 04:57:29
User 4,Source 0,browseTitles,,,2022-09-12 04:57:27
User 4,Source 0,playback,,,2022-09-12 04:57:27
User 4,Source 0,playback,,,2022-09-12 04:25:41
User 4,Source 0,browseTitles,,,2022-09-12 04:25:40
User 4,Source 0,browseTitles,,,2022-09-12 04:25:32
User 4,Source 0,playback,,,2022-09-12 04:25:32
User 4,Source 0,playback,,,2022-09-12 04:12:36
User 4,Source 0,browseTitles,,,2022-09-12 04:12:35
User 4,Source 0,profilesGate,,,2022-09-12 04:12:12
User 4,Source 0,browseTitles,,,2022-09-12 04:12:12
User 4,Source 1,playback,,,2022-09-11 16:25:00
User 4,Source 1,movieDetails,,,2022-09-11 16:25:00
User 4,Source 1,postPlay,,,2022-09-11 16:14:22
User 4,Source 1,playback,,,2022-09-11 16:14:22
User 4,Source 1,postPlay,,,2022-09-11 16:14:20
User 4,Source 1,playback,,,2022-09-11 16:14:20
User 4,Source 1,postPlay,,,2022-09-11 16:07:15
User 4,Source 1,playback,,,2022-09-11 16:07:15
User 4,Source 1,postPlay,,,2022-09-11 16:07:13
User 4,Source 1,playback,,,2022-09-11 16:07:13
User 4,Source 1,playback,,,2022-09-11 16:04:28
User 4,Source 1,postPlay,,,2022-09-11 16:04:28
User 4,Source 1,postPlay,,,2022-09-11 16:04:26
User 4,Source 1,playback,,,2022-09-11 16:04:26
User 4,Source 1,postPlay,,,2022-09-11 16:02:57
User 4,Source 1,playback,,,2022-09-11 16:02:57
User 4,Source 1,postPlay,,,2022-09-11 16:02:54
User 4,Source 1,playback,,,2022-09-11 16:02:54
User 4,Source 1,postPlay,,,2022-09-11 15:59:14
User 4,Source 1,playback,,,2022-09-11 15:59:14
User 4,Source 1,playback,,,2022-09-11 15:59:12
User 4,Source 1,postPlay,,,2022-09-11 15:59:12
User 4,Source 1,playback,,,2022-09-11 15:52:19
User 4,Source 1,postPlay,,,2022-09-11 15:52:19
User 4,Source 1,playback,,,2022-09-11 15:52:18
User 4,Source 1,postPlay,,,2022-09-11 15:52:18
User 4,Source 1,playback,,,2022-09-11 15:51:47
User 4,Source 1,postPlay,,,2022-09-11 15:51:47
User 4,Source 1,playback,,,2022-09-11 15:51:45
User 4,Source 1,postPlay,,,2022-09-11 15:51:45
User 4,Source 1,playback,,,2022-09-11 15:43:39
User 4,Source 1,postPlay,,,2022-09-11 15:43:39
User 4,Source 1,playback,,,2022-09-11 15:43:37
User 4,Source 1,postPlay,,,2022-09-11 15:43:37
User 4,Source 1,postPlay,,,2022-09-11 15:43:01
User 4,Source 1,playback,,,2022-09-11 15:43:01
User 4,Source 1,playback,,,2022-09-11 15:42:59
User 4,Source 1,postPlay,,,2022-09-11 15:42:59
User 4,Source 1,playback,,,2022-09-11 15:42:39
User 4,Source 1,postPlay,,,2022-09-11 15:42:39
User 4,Source 1,playback,,,2022-09-11 15:42:38
User 4,Source 1,postPlay,,,2022-09-11 15:42:38
User 4,Source 1,postPlay,,,2022-09-11 15:40:42
User 4,Source 1,playback,,,2022-09-11 15:40:42
User 4,Source 1,playback,,,2022-09-11 15:40:41
User 4,Source 1,postPlay,,,2022-09-11 15:40:41
User 4,Source 1,postPlay,,,2022-09-11 15:35:23
User 4,Source 1,playback,,,2022-09-11 15:35:23
User 4,Source 1,playback,,,2022-09-11 15:35:21
User 4,Source 1,postPlay,,,2022-09-11 15:35:21
User 4,Source 1,episodesSelector,,,2022-09-11 15:22:29
User 4,Source 1,playback,,,2022-09-11 15:22:29
User 4,Source 1,movieDetails,,,2022-09-11 15:22:18
User 4,Source 1,episodesSelector,,,2022-09-11 15:22:18
User 4,Source 1,movieDetails,,,2022-09-11 15:22:14
User 4,Source 1,playback,,,2022-09-11 15:22:14
User 4,Source 1,postPlay,,,2022-09-11 15:22:02
User 4,Source 1,playback,,,2022-09-11 15:22:02
User 4,Source 1,playback,,,2022-09-11 15:21:58
User 4,Source 1,postPlay,,,2022-09-11 15:21:58
User 4,Source 1,movieDetails,,,2022-09-11 15:17:14
User 4,Source 1,playback,,,2022-09-11 15:17:14
User 4,Source 1,playback,,,2022-09-11 15:16:58
User 4,Source 1,movieDetails,,,2022-09-11 15:16:58
User 4,Source 1,postPlay,,,2022-09-11 15:11:09
User 4,Source 1,playback,,,2022-09-11 15:11:09
User 4,Source 1,playback,,,2022-09-11 15:11:07
User 4,Source 1,postPlay,,,2022-09-11 15:11:07
User 4,Source 1,postPlay,,,2022-09-11 15:10:32
User 4,Source 1,playback,,,2022-09-11 15:10:32
User 4,Source 1,playback,,,2022-09-11 15:10:30
User 4,Source 1,postPlay,,,2022-09-11 15:10:30
User 4,Source 1,postPlay,,,2022-09-11 15:08:59
User 4,Source 1,playback,,,2022-09-11 15:08:59
User 4,Source 1,playback,,,2022-09-11 15:08:57
User 4,Source 1,postPlay,,,2022-09-11 15:08:57
User 4,Source 1,playback,,,2022-09-11 15:08:02
User 4,Source 1,postPlay,,,2022-09-11 15:08:02
User 4,Source 1,playback,,,2022-09-11 15:08:00
User 4,Source 1,postPlay,,,2022-09-11 15:08:00
User 4,Source 1,playback,,,2022-09-11 15:07:18
User 4,Source 1,postPlay,,,2022-09-11 15:07:18
User 4,Source 1,playback,,,2022-09-11 15:07:17
User 4,Source 1,postPlay,,,2022-09-11 15:07:17
User 4,Source 1,postPlay,,,2022-09-11 15:06:45
User 4,Source 1,playback,,,2022-09-11 15:06:45
User 4,Source 1,playback,,,2022-09-11 15:06:43
User 4,Source 1,postPlay,,,2022-09-11 15:06:43
User 4,Source 1,postPlay,,,2022-09-11 15:06:21
User 4,Source 1,playback,,,2022-09-11 15:06:21
User 4,Source 1,playback,,,2022-09-11 15:06:19
User 4,Source 1,postPlay,,,2022-09-11 15:06:19
User 4,Source 1,postPlay,,,2022-09-11 15:05:50
