Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
User 1,2022-01-13 15:33:15,00:00:12,,Mandela (Tamil)_hook_04_16x9,HOOK,Device Type 1,00:00:12,00:00:12,IN (India)
User 1,2022-01-09 06:53:38,00:00:13,,The Circle_hook_primary_16x9,HOOK,Device Type 1,00:00:13,Not latest view,IN (India)
User 1,2022-01-09 06:52:12,00:00:52,,Main Character Intro Clip: MOTHER / ANDROID,HOOK,Device Type 1,00:00:52,00:00:52,IN (India)
User 1,2022-01-01 18:06:24,00:32:20,,Forrest Gump,,Device Type 1,00:32:32,00:32:32,IN (India)
User 1,2022-01-01 18:06:12,00:00:01,,Mimi,,Device Type 1,00:00:01,00:00:01,IN (India)
User 1,2022-01-01 10:01:39,00:00:10,Autoplayed: user action: None; ,Genre Specific Moment Clip: Minnal Murali,HOOK,Device Type 7,00:00:10,00:00:10,IN (India)
User 1,2022-01-01 08:57:31,01:01:48,Autoplayed: user action: User_Interaction; ,Minnal Murali,,Device Type 7,02:31:28,02:31:28,IN (India)
User 1,2021-12-30 13:55:51,00:00:04,,Season 1 Trailer 2: The Queen's Gambit,TRAILER,Device Type 1,00:00:04,00:00:04,IN (India)
User 1,2021-12-29 17:41:40,00:00:09,,Extraction,,Device Type 1,00:00:44,00:00:44,IN (India)
User 1,2021-12-29 17:38:41,00:00:10,,One,,Device Type 1,00:13:49,00:13:49,IN (India)
User 1,2021-12-29 17:37:44,00:00:28,,Bird Box,,Device Type 1,00:43:00,00:43:00,IN (India)
User 1,2021-12-29 17:37:11,00:00:06,,Cast Away_hook_02_16x9,HOOK,Device Type 1,00:00:06,00:00:06,IN (India)
User 1,2021-12-29 17:36:42,00:00:21,,Forrest Gump_hook_primary_16x9,HOOK,Device Type 1,00:00:20,00:00:20,IN (India)
User 1,2021-12-29 17:33:53,00:01:08,,Season 1 Trailer: The Silent Sea,TRAILER,Device Type 1,00:01:08,00:01:08,IN (India)
User 1,2021-12-29 17:33:23,00:00:07,,Thambi,,Device Type 1,00:03:48,00:03:48,IN (India)
User 1,2021-12-28 13:10:54,00:14:12,,Beethoven,,Device Type 1,00:14:19,00:14:19,IN (India)
User 1,2021-12-28 12:43:01,00:21:19,,Friends: Season 1: The One Where Monica Gets a Roommate (Pilot) (Episode 1),,Device Type 1,00:22:38,00:22:38,IN (India)
User 1,2021-12-28 09:11:48,00:00:04,Autoplayed: user action: None; ,Trailer: Minnal Murali,TRAILER,Device Type 7,00:00:04,00:00:04,IN (India)
User 1,2021-12-28 09:01:15,00:10:26,,Minnal Murali,,Device Type 7,02:34:08,Not latest view,IN (India)
User 1,2021-12-28 09:00:59,00:00:13,Autoplayed: user action: None; ,Trailer: Minnal Murali,TRAILER,Device Type 7,00:00:13,Not latest view,IN (India)
User 1,2021-12-28 08:59:35,00:00:18,Autoplayed: user action: User_Interaction; ,Sully,,Device Type 7,00:00:19,00:00:19,IN (India)
User 1,2021-12-28 08:58:03,00:00:01,Autoplayed: user action: None; ,Kingdom: Ashin of the North,,Device Type 7,00:54:38,00:54:38,IN (India)
User 1,2021-12-28 08:05:01,00:52:24,Autoplayed: user action: User_Interaction; ,Kingdom: Ashin of the North,,Device Type 7,00:54:38,Not latest view,IN (India)
User 1,2021-12-28 08:04:27,00:00:02,Autoplayed: user action: None; ,Kingdom: Season 1: Episode 1,,Device Type 7,00:00:03,00:00:03,IN (India)
User 1,2021-12-28 08:03:37,00:00:03,Autoplayed: user action: None; ,Deep Blue Sea,,Device Type 7,00:00:03,00:00:03,IN (India)
User 1,2021-12-28 07:37:19,00:23:51,Autoplayed: user action: User_Interaction; ,Inception,,Device Type 7,00:24:06,00:24:06,IN (India)
User 1,2021-12-28 07:22:25,00:08:02,Autoplayed: user action: User_Interaction; ,Interstellar,,Device Type 7,01:04:58,01:04:58,IN (India)
User 1,2021-12-28 07:21:17,00:00:12,Autoplayed: user action: User_Interaction; ,The Conjuring,,Device Type 7,00:04:21,00:04:21,IN (India)
User 1,2021-12-28 07:21:11,00:00:01,Autoplayed: user action: None; ,The Conjuring,,Device Type 7,00:00:01,Not latest view,IN (India)
User 1,2021-12-28 07:19:47,00:00:06,Autoplayed: user action: User_Interaction; ,Anacondas: The Hunt for the Blood Orchid,,Device Type 7,00:00:07,00:00:07,IN (India)
User 1,2021-12-28 07:16:26,00:00:29,Autoplayed: user action: User_Interaction; ,Jurassic World Camp Cretaceous: Season 1: Camp Cretaceous (Episode 1),,Device Type 7,00:08:16,00:08:16,IN (India)
User 1,2021-12-28 07:15:36,00:00:09,,Jurassic Park III,,Device Type 7,00:52:25,00:52:25,IN (India)
User 1,2021-12-28 07:15:27,00:00:06,Autoplayed: user action: None; ,Jurassic Park III_hook_02_16x9,HOOK,Device Type 7,00:00:06,00:00:06,IN (India)
User 1,2021-12-28 06:12:00,00:34:03,,Kaaval,,Device Type 1,02:26:44,02:26:44,IN (India)
User 1,2021-12-27 16:07:23,01:20:09,,Kaaval,,Device Type 6,02:26:36,Not latest view,IN (India)
User 1,2021-12-27 14:20:10,00:54:23,Autoplayed: user action: User_Interaction; ,Kaaval,,Device Type 6,01:00:57,Not latest view,IN (India)
User 1,2021-12-27 10:07:26,00:00:38,,Kaaval_hook_01_16x9,HOOK,Device Type 1,00:00:38,00:00:38,IN (India)
User 1,2021-12-27 10:06:33,00:00:06,,Season 4 Teaser 1: Cobra Kai,TEASER_TRAILER,Device Type 1,00:00:06,00:00:06,IN (India)
User 1,2021-12-27 04:41:07,00:30:59,Autoplayed: user action: Unspecified; ,Doctor (Tamil),,Device Type 7,01:19:07,01:19:07,IN (India)
User 1,2021-12-27 04:40:51,00:00:06,Autoplayed: user action: None; ,Varane Avashyamund (Malayalam)_hook_04_16x9,HOOK,Device Type 7,00:00:06,00:00:06,IN (India)
User 1,2021-12-26 19:08:22,00:00:03,,Navarasa: Volume 1: Peace: Shanthih (Episode 5),,Device Type 1,00:18:15,00:18:15,IN (India)
User 1,2021-12-26 19:08:07,00:00:08,,Navarasa: Volume 1: Roudhram : Raudra (Episode 6),,Device Type 1,00:37:41,00:37:41,IN (India)
User 1,2021-12-26 19:08:00,00:00:01,,Navarasa: Volume 1: Peace: Shanthih (Episode 5),,Device Type 1,00:00:01,Not latest view,IN (India)
User 1,2021-12-26 19:07:18,00:00:26,,Navarasa: Volume 1: Guitar Kambi Mele Nindru: Sringara (Episode 9),,Device Type 1,00:02:03,00:02:03,IN (India)
User 1,2021-12-26 16:38:53,02:13:01,,Don't Look Up,,Device Type 1,02:18:40,02:18:40,IN (India)
User 1,2021-12-26 14:28:25,00:07:39,,Don't Look Up,,Device Type 1,00:08:02,Not latest view,IN (India)
User 1,2021-12-26 14:22:28,00:01:42,,Don't Look Up,,Device Type 1,00:01:54,Not latest view,IN (India)
User 1,2021-12-26 14:22:20,00:00:05,,Don't Look Up,,Device Type 1,00:00:05,Not latest view,IN (India)
User 1,2021-12-26 14:20:47,00:01:04,,Super Deluxe,,Device Type 1,00:00:00,00:00:00,IN (India)
User 1,2021-12-26 14:19:24,00:00:26,,Sherlock: Series 1_hook_primary_16x9,HOOK,Device Type 1,00:00:26,00:00:26,IN (India)
User 1,2021-12-26 14:19:04,00:00:11,,Sherlock: Series 1_hook_primary_16x9,HOOK,Device Type 1,00:00:10,Not latest view,IN (India)
User 1,2021-12-26 14:14:51,00:00:12,,Sherlock: Series 1: A Study in Pink (Episode 1),,Device Type 1,00:00:14,00:00:14,IN (India)
User 1,2021-12-26 14:14:41,00:00:03,,Sherlock: Series 1: A Study in Pink (Episode 1),,Device Type 1,00:00:02,Not latest view,IN (India)
User 1,2021-12-26 14:14:11,00:00:10,,The Imitation Game_Autohook_6_16x9,HOOK,Device Type 1,00:00:10,00:00:10,IN (India)
User 1,2021-12-26 14:10:44,00:00:13,,The Imitation Game_Autohook_6_16x9,HOOK,Device Type 1,00:00:13,Not latest view,IN (India)
User 1,2021-12-26 13:49:20,00:00:28,,Sherlock: Series 1_hook_primary_16x9,HOOK,Device Type 1,00:00:28,Not latest view,IN (India)
User 1,2021-12-26 13:48:01,00:00:13,,The Mysterious,TEASER_TRAILER,Device Type 1,00:00:13,00:00:13,IN (India)
User 1,2021-12-26 10:29:57,00:42:53,Autoplayed: user action: User_Interaction; ,Doctor (Tamil),,Device Type 7,00:48:13,Not latest view,IN (India)
User 1,2021-12-26 10:29:41,00:00:12,,Doctor (Tamil),,Device Type 7,00:00:12,Not latest view,IN (India)
User 1,2021-12-26 10:28:46,00:00:06,Autoplayed: user action: None; ,Trailer: Ludo,TRAILER,Device Type 7,00:00:06,00:00:06,IN (India)
User 1,2021-12-26 10:28:15,00:00:15,Autoplayed: user action: None; ,2012_hook_primary_16x9,HOOK,Device Type 7,00:00:15,00:00:15,IN (India)
User 1,2021-12-26 10:27:06,00:00:14,Autoplayed: user action: None; ,Boomika_hook_01_16x9,HOOK,Device Type 7,00:00:15,00:00:15,IN (India)
User 1,2021-12-26 10:26:52,00:00:10,Autoplayed: user action: None; ,Boomika (Malayalam)_hook_01_16x9,HOOK,Device Type 7,00:00:10,00:00:10,IN (India)
User 1,2021-12-26 10:25:27,00:00:18,Autoplayed: user action: User_Interaction; ,The Conjuring 2,,Device Type 7,00:10:28,00:10:28,IN (India)
User 1,2021-12-26 10:25:12,00:00:05,Autoplayed: user action: None; ,Annabelle Comes Home_hook_05_16x9,HOOK,Device Type 7,00:00:05,00:00:05,IN (India)
User 1,2021-12-26 10:24:57,00:00:08,Autoplayed: user action: None; ,The Conjuring 2_hook_primary_16x9,HOOK,Device Type 7,00:00:08,00:00:08,IN (India)
User 1,2021-12-26 10:24:21,00:00:10,Autoplayed: user action: None; ,Thalaivi_hook_primary_16x9,HOOK,Device Type 7,00:00:10,00:00:10,IN (India)
User 1,2021-12-26 10:23:24,00:00:03,,Jurassic Park III,,Device Type 7,00:52:17,Not latest view,IN (India)
User 1,2021-12-26 10:05:23,00:00:05,,Marvel's Daredevil: Season 1_VAR2-RECIPE-2_AGENCY1,TEASER_TRAILER,Device Type 1,00:00:05,00:00:05,IN (India)
User 1,2021-12-26 10:03:47,00:00:11,,Trailer: Don't Look Up,TRAILER,Device Type 1,00:00:11,00:00:11,IN (India)
User 1,2021-12-26 10:01:30,00:20:27,Autoplayed: user action: User_Interaction; ,Jurassic Park III,,Device Type 7,00:47:32,Not latest view,IN (India)
User 1,2021-12-26 10:01:16,00:00:07,Autoplayed: user action: None; ,Jurassic Park_hook_04_16x9,HOOK,Device Type 7,00:00:07,00:00:07,IN (India)
User 1,2021-12-26 09:25:37,00:36:42,,Angu Vaikuntapurathu (Malayalam),,Device Type 1,02:41:51,02:41:51,IN (India)
User 1,2021-12-26 09:23:54,00:32:22,,Minnal Murali,,Device Type 7,02:23:43,Not latest view,IN (India)
User 1,2021-12-26 07:03:31,00:37:29,,Angu Vaikuntapurathu (Malayalam),,Device Type 1,02:02:21,Not latest view,IN (India)
User 1,2021-12-25 18:37:25,01:17:34,,Angu Vaikuntapurathu (Malayalam),,Device Type 1,01:24:21,Not latest view,IN (India)
User 1,2021-12-25 13:59:58,00:45:46,,Anacondas: The Hunt for the Blood Orchid,,Device Type 7,01:32:15,Not latest view,IN (India)
User 1,2021-12-25 13:58:14,00:00:03,Autoplayed: user action: None; ,The Perfect Storm,,Device Type 7,00:00:03,00:00:03,IN (India)
User 1,2021-12-25 13:57:01,00:00:04,Autoplayed: user action: None; ,Lakshya,,Device Type 7,00:00:04,00:00:04,IN (India)
User 1,2021-12-25 12:35:13,00:14:55,Autoplayed: user action: User_Interaction; ,Angu Vaikuntapurathu (Malayalam),,Device Type 7,00:52:38,Not latest view,IN (India)
User 1,2021-12-25 12:32:05,00:01:36,Autoplayed: user action: User_Interaction; ,Ala Vaikunthapurramuloo,,Device Type 7,00:11:51,00:11:51,IN (India)
User 1,2021-12-25 12:29:08,00:00:29,,Spider-Man: Homecoming,,Device Type 7,00:15:26,00:15:26,IN (India)
User 1,2021-12-25 12:28:51,00:00:14,Autoplayed: user action: None; ,Spider-Man: Homecoming_hook_primary_16x9,HOOK,Device Type 7,00:00:14,00:00:14,IN (India)
User 1,2021-12-25 12:28:34,00:00:04,Autoplayed: user action: None; ,Season 1 Plot Clip: Decoupled,HOOK,Device Type 7,00:00:04,00:00:04,IN (India)
User 1,2021-12-25 12:28:12,00:00:07,Autoplayed: user action: None; ,Season 2 Main Character Intro Clip: Emily in Paris,HOOK,Device Type 7,00:00:07,00:00:07,IN (India)
User 1,2021-12-25 05:28:23,01:02:44,,Minnal Murali,,Device Type 1,02:39:18,Not latest view,IN (India)
User 1,2021-12-25 03:35:52,00:00:06,Autoplayed: user action: None; ,Trailer: Don't Look Up,TRAILER,Device Type 7,00:00:06,Not latest view,IN (India)
User 1,2021-12-25 02:43:12,00:46:55,,Minnal Murali,,Device Type 7,02:34:14,Not latest view,IN (India)
User 1,2021-12-25 02:42:53,00:00:06,Autoplayed: user action: None; ,Nee Enge En Anbe (Kahaani remake)_hook_05_16x9,HOOK,Device Type 7,00:00:06,00:00:06,IN (India)
User 1,2021-12-24 15:45:39,02:10:44,,Minnal Murali,,Device Type 6,02:34:00,Not latest view,IN (India)
User 1,2021-12-24 15:40:32,00:01:38,,Minnal Murali,,Device Type 6,00:23:16,Not latest view,IN (India)
User 1,2021-12-24 14:19:44,00:21:39,,Minnal Murali,,Device Type 6,00:21:41,Not latest view,IN (India)
User 1,2021-12-24 14:19:24,00:00:16,Autoplayed: user action: None; ,Main Character Intro Clip: Minnal Murali,HOOK,Device Type 6,00:00:16,00:00:16,IN (India)
User 1,2021-12-24 10:39:17,00:00:17,Autoplayed: user action: None; ,Trailer: Don't Look Up,TRAILER,Device Type 7,00:00:17,Not latest view,IN (India)
User 1,2021-12-24 10:05:02,00:00:18,,Main Character Intro Clip: Minnal Murali,HOOK,Device Type 1,00:00:18,Not latest view,IN (India)
User 1,2021-12-24 10:04:30,00:00:22,,Main Character Intro Clip: Minnal Murali,HOOK,Device Type 1,00:00:22,Not latest view,IN (India)
User 1,2021-12-24 08:05:00,02:34:14,,Minnal Murali,,Device Type 7,02:34:14,Not latest view,IN (India)
User 1,2021-12-24 05:36:45,00:00:06,,Trailer: Minnal Murali,TRAILER,Device Type 1,00:00:06,Not latest view,IN (India)
User 1,2021-12-23 16:44:09,00:53:04,,Irul,,Device Type 1,01:30:56,01:30:56,IN (India)
User 1,2021-12-23 15:42:09,00:32:38,,Irul,,Device Type 1,00:36:50,Not latest view,IN (India)
User 1,2021-12-23 13:40:17,00:00:14,,Irul_hook_01_16x9,HOOK,Device Type 1,00:00:14,00:00:14,IN (India)
User 1,2021-12-23 13:39:59,00:00:15,,Kaaval_hook_primary_16x9,HOOK,Device Type 1,00:00:14,00:00:14,IN (India)
User 1,2021-12-23 13:39:20,00:00:29,,Marvel's Daredevil: Season 1_VAR2-RECIPE-1_AGENCY1,TEASER_TRAILER,Device Type 1,00:00:29,00:00:29,IN (India)
User 1,2021-12-22 19:16:53,00:02:54,,Marvel's Daredevil: Season 1: Into the Ring (Episode 1),,Device Type 1,00:02:30,00:02:30,IN (India)
User 1,2021-12-22 19:15:48,00:00:42,,Kaaval_hook_primary_16x9,HOOK,Device Type 1,00:00:35,Not latest view,IN (India)
User 1,2021-12-22 15:49:15,00:27:59,,Meenakshi Sundareshwar,,Device Type 1,00:34:22,00:34:22,IN (India)
User 1,2021-12-22 15:03:19,00:00:17,,Ala Vaikunthapurramuloo (Malayalam Version)_hook_04_16x9,HOOK,Device Type 1,00:00:17,00:00:17,IN (India)
User 1,2021-12-22 14:17:17,00:00:06,,Kaaval_hook_primary_16x9,HOOK,Device Type 1,00:00:05,Not latest view,IN (India)
User 1,2021-12-22 14:16:26,00:00:24,,Irul_hook_01_16x9,HOOK,Device Type 1,00:00:24,Not latest view,IN (India)
User 1,2021-12-22 14:15:44,00:00:12,,Genre Specific Moment Clip: Meenakshi Sundareshwar,HOOK,Device Type 1,00:00:12,00:00:12,IN (India)
User 1,2021-12-22 14:09:16,00:00:08,,Genre Specific Moment Clip: Meenakshi Sundareshwar,HOOK,Device Type 1,00:00:08,Not latest view,IN (India)
User 1,2021-12-20 17:49:08,01:15:02,,Njan Prakashan,,Device Type 1,02:03:23,02:03:23,IN (India)
User 1,2021-12-20 17:16:04,00:31:22,,Njan Prakashan,,Device Type 1,00:47:27,Not latest view,IN (India)
User 1,2021-12-20 17:10:03,00:04:54,,Njan Prakashan,,Device Type 1,00:15:25,Not latest view,IN (India)
User 1,2021-12-20 07:25:51,00:00:37,,Trailer: After We Fell,TRAILER,Device Type 1,00:00:37,00:00:37,IN (India)
User 1,2021-12-19 19:31:26,00:00:19,,One,,Device Type 1,00:00:20,Not latest view,IN (India)
User 1,2021-12-19 19:31:10,00:00:08,,No One Gets Out Alive,,Device Type 1,00:56:18,00:56:18,IN (India)
User 1,2021-12-19 19:21:44,00:09:00,,Kannum Kannum Kollaiyadithaal,,Device Type 1,01:04:01,01:04:01,IN (India)
User 1,2021-12-19 19:06:05,00:07:50,,Njan Prakashan,,Device Type 1,00:10:48,Not latest view,IN (India)
User 1,2021-12-19 19:05:29,00:00:28,,Don't Breathe 2_hook_01_16x9,HOOK,Device Type 1,00:00:28,00:00:28,IN (India)
User 1,2021-12-19 19:04:45,00:00:23,,Veronica,,Device Type 1,00:40:24,00:40:24,IN (India)
User 1,2021-12-19 19:03:55,00:00:41,,Veronica_hook_primary_16x9,HOOK,Device Type 1,00:00:41,00:00:41,IN (India)
User 1,2021-12-19 18:59:24,00:00:08,,Veronica_hook_primary_16x9,HOOK,Device Type 1,00:00:08,Not latest view,IN (India)
User 1,2021-12-19 18:58:48,00:00:14,,The Devil's Advocate_hook_primary_16x9,HOOK,Device Type 1,00:00:13,00:00:13,IN (India)
User 1,2021-12-19 18:58:14,00:00:04,,THESILENCE_CLIP_GENRE,HOOK,Device Type 1,00:00:04,00:00:04,IN (India)
User 1,2021-12-19 17:14:36,01:37:31,,Maniyarayile Ashokan,,Device Type 1,01:48:32,01:48:32,IN (India)
User 1,2021-12-19 14:10:42,00:00:10,,Teaser: Don't Look Up,TEASER_TRAILER,Device Type 1,00:00:10,00:00:10,IN (India)
User 1,2021-12-17 17:08:05,00:17:51,Autoplayed: user action: User_Interaction; ,Kurup (Malayalam),,Device Type 7,02:31:47,02:31:47,IN (India)
User 1,2021-12-17 17:06:46,00:00:02,Autoplayed: user action: None; ,Kurup (Tamil),,Device Type 7,00:00:03,00:00:03,IN (India)
User 1,2021-12-17 17:06:32,00:00:06,,Kurup (Tamil),,Device Type 7,00:00:06,Not latest view,IN (India)
User 1,2021-12-16 17:00:38,02:06:53,,Kurup (Malayalam),,Device Type 6,02:31:24,Not latest view,IN (India)
User 1,2021-12-16 15:30:31,00:18:21,,Kurup (Malayalam),,Device Type 6,00:20:44,Not latest view,IN (India)
User 1,2021-12-16 15:16:42,00:00:52,Autoplayed: user action: None; ,Spider-Man: Homecoming_hook_primary_16x9,HOOK,Device Type 6,00:00:52,Not latest view,IN (India)
User 1,2021-12-16 15:16:17,00:00:11,Autoplayed: user action: None; ,Season 1 Trailer 2: Aranyak,TRAILER,Device Type 6,00:00:11,00:00:11,IN (India)
User 1,2021-12-16 15:14:43,00:00:01,,Kurup (Malayalam),,Device Type 6,00:00:01,Not latest view,IN (India)
User 1,2021-12-16 15:14:31,00:00:08,Autoplayed: user action: None; ,Kurup_hook_01_16x9,HOOK,Device Type 6,00:00:08,00:00:08,IN (India)
User 1,2021-12-15 15:40:31,00:00:05,,Season 1 Trailer: The Silent Sea,TRAILER,Device Type 1,00:00:05,Not latest view,IN (India)
User 1,2021-12-14 10:59:39,00:00:18,,Marvel's Daredevil: Season 1_VAR2-RECIPE-3_AGENCY2,TEASER_TRAILER,Device Type 1,00:00:18,00:00:18,IN (India)
User 1,2021-12-11 17:16:29,01:08:06,,Red Notice,,Device Type 1,01:57:45,01:57:45,IN (India)
User 1,2021-12-11 14:43:00,00:06:58,,Baahubali 2: The Conclusion (Tamil Version),,Device Type 7,02:39:54,02:39:54,IN (India)
User 1,2021-12-11 14:42:34,00:00:08,,Baahubali 2: The Conclusion (Tamil Version),,Device Type 7,02:32:49,Not latest view,IN (India)
User 1,2021-12-11 13:53:59,00:39:26,Autoplayed: user action: User_Interaction; ,Baahubali 2: The Conclusion (Tamil Version),,Device Type 7,02:32:49,Not latest view,IN (India)
User 1,2021-12-11 13:52:36,00:00:07,Autoplayed: user action: None; ,Kilometers and Kilometers_hook_primary_16x9,HOOK,Device Type 7,00:00:07,00:00:07,IN (India)
User 1,2021-12-11 13:51:50,00:00:04,Autoplayed: user action: None; ,Volume 1 Trailer: Navarasa,TRAILER,Device Type 7,00:00:04,00:00:04,IN (India)
User 1,2021-12-11 13:51:22,00:00:05,Autoplayed: user action: None; ,Untitled Tentpole Title (Tamil)_hook_05_16x9,HOOK,Device Type 7,00:00:05,00:00:05,IN (India)
User 1,2021-12-11 13:51:00,00:00:17,Autoplayed: user action: None; ,Part 5 Volume 2 Trailer: Money Heist,TRAILER,Device Type 7,00:00:17,00:00:17,IN (India)
User 1,2021-12-09 17:23:38,00:46:30,,Red Notice,,Device Type 1,00:43:59,Not latest view,IN (India)
User 1,2021-12-09 17:20:29,00:02:57,,Navarasa: Volume 1: Edhiri: Karuṇā (Episode 1),,Device Type 1,00:02:35,00:02:35,IN (India)
User 1,2021-12-09 17:20:16,00:00:12,,Volume 1 Trailer: Navarasa,TRAILER,Device Type 1,00:00:12,Not latest view,IN (India)
User 1,2021-12-09 17:20:02,00:00:04,,Volume 1 Trailer: Navarasa,TRAILER,Device Type 1,00:00:04,Not latest view,IN (India)
User 1,2021-12-09 17:19:16,00:00:05,,Red Notice,,Device Type 1,00:00:05,Not latest view,IN (India)
User 1,2021-12-08 18:01:16,02:26:25,,Doctor (Tamil),,Device Type 1,02:26:02,Not latest view,IN (India)
User 1,2021-12-08 16:52:13,00:00:24,,Part 4 Bonus Video 1: Money Heist,HOOK,Device Type 1,00:00:24,00:00:24,IN (India)
User 1,2021-12-08 15:41:14,00:00:25,,"Volume 2 Trailer: Love, Death & Robots",TRAILER,Device Type 1,00:00:25,00:00:25,IN (India)
User 1,2021-12-08 15:22:53,00:00:07,,Dark: Season 2 (Trailer),TRAILER,Device Type 1,00:00:07,00:00:07,IN (India)
User 1,2021-12-08 15:21:28,00:00:17,,Season 1 Teaser: The Witcher,TEASER_TRAILER,Device Type 1,00:00:17,00:00:17,IN (India)
User 1,2021-12-08 15:21:04,00:00:11,,Volume 1 Trailer: Navarasa,TRAILER,Device Type 1,00:00:11,Not latest view,IN (India)
User 1,2021-12-08 14:57:44,00:00:05,,Main Character Intro Clip: No One Gets Out Alive,HOOK,Device Type 1,00:00:04,00:00:04,IN (India)
User 1,2021-12-08 14:53:51,00:00:29,,Extinct: Clip: Genre Specific Moment,HOOK,Device Type 1,00:00:29,00:00:29,IN (India)
User 1,2021-12-08 14:50:34,00:00:09,,Extraction_VAR2-CLIP_CHARACTER,HOOK,Device Type 1,00:00:09,00:00:09,IN (India)
User 1,2021-12-08 14:48:38,00:00:26,,Thambi,,Device Type 1,00:16:28,Not latest view,IN (India)
User 1,2021-12-08 14:48:25,00:00:12,,Untitled Jeethu Joseph/Karthi Film_hook_primary_16x9,HOOK,Device Type 1,00:00:12,00:00:12,IN (India)
User 1,2021-12-08 14:47:16,00:00:25,,Super Deluxe_hook_02_16x9,HOOK,Device Type 1,00:00:25,00:00:25,IN (India)
User 1,2021-12-08 14:46:26,00:00:31,,Kannum Kannum Kollaiyadithaal,,Device Type 1,00:13:29,Not latest view,IN (India)
User 1,2021-12-08 14:45:37,00:00:46,,Kannum Kannum Kollaiyadithaal_hook_03_16x9,HOOK,Device Type 1,00:00:46,00:00:46,IN (India)
User 1,2021-12-08 14:45:10,00:00:07,,Mandela (Tamil)_hook_03_16x9,HOOK,Device Type 1,00:00:07,00:00:07,IN (India)
User 1,2021-12-08 14:43:23,00:00:17,,Maniyarayile Ashokan_hook_05_16x9,HOOK,Device Type 1,00:00:17,00:00:17,IN (India)
User 1,2021-12-08 14:41:47,00:00:06,,Trailer: Minnal Murali,TRAILER,Device Type 1,00:00:06,Not latest view,IN (India)
User 1,2021-12-08 14:39:57,00:00:06,,Untitled Tentpole Title (Tamil)_hook_02_16x9,HOOK,Device Type 1,00:00:06,00:00:06,IN (India)
User 1,2021-12-08 14:39:26,00:00:06,,Untitled Tentpole Title (Tamil)_hook_02_16x9,HOOK,Device Type 1,00:00:06,Not latest view,IN (India)
User 3,2022-11-07 12:57:43,00:00:27,,Bullet Train - Fast Laughs - Clip 1,HOOK,Device Type 4,00:00:27,00:00:27,IN (India)
User 3,2022-09-22 06:07:33,01:04:51,,Thallumaala,,Device Type 4,02:22:02,02:22:02,IN (India)
User 3,2022-09-18 15:36:03,00:00:34,,Thallumala_hook_primary_16x9,HOOK,Device Type 4,00:00:34,00:00:34,IN (India)
